duplication_type	pair_age	gene1	gene2	Ks
PD	young	Pbre1_17G283200	Pbre1_17G283800	0.0835502
TD	old	Pbre1_12G157400	Pbre1_12G157600	0.145882
TRD	old	Pbre1_15G313400	Pbre1_02G063200	0.200915
TD	old	Pbre1_14G183800	Pbre1_14G184000	0.369183
TD	old	Pbre1_11G022600	Pbre1_11G022800	0.0181061
TRD	old	Pbre1_03G045800	Pbre1_11G051400	0.188331
TD	old	Pbre1_07G091200	Pbre1_07G091400	0.105146
TD	young	Pbre1_05G435200	Pbre1_05G435400	0.024229
TD	young	Pbre1_03G320800	Pbre1_03G321000	0.038346
TRD	old	Pbre1_06G137200	Pbre1_13G025800	0.120687
PD	old	Pbre1_05G358200	Pbre1_05G358600	0.340805
TRD	old	Pbre1_05G083000	Pbre1_10G085200	0.192418
TD	young	Pbre1_12G305800	Pbre1_12G306000	0.0693155
TRD	old	Pbre1_07G129800	Pbre1_16G374600	0.214432
TRD	old	Pbre1_07G133600	Pbre1_12G229400	0.219808
PD	old	Pbre1_13G238600	Pbre1_13G239000	0.325323
PD	old	Pbre1_17G486200	Pbre1_17G487000	0.325024
TRD	young	Pbre1_10G134800	Pbre1_01G370000	0.110898
TRD	old	Pbre1_02G480800	Pbre1_07G156400	0.207418
TRD	old	Pbre1_05G289000	Pbre1_06G388200	0.174322
TRD	old	Pbre1_07G288600	Pbre1_16G374600	0.137833
TD	old	Pbre1_02G312000	Pbre1_02G312200	0.114803
TD	old	Pbre1_13G063000	Pbre1_13G063200	0.157859
TD	young	Pbre1_07G108400	Pbre1_07G108600	0.0351232
PD	young	Pbre1_03G296600	Pbre1_03G297600	0.0385174
TD	old	Pbre1_11G149000	Pbre1_11G149200	0.209518
TRD	young	Pbre1_12G410600	Pbre1_15G762200	0.0773755
TRD	old	Pbre1_15G777600	Pbre1_01G039000	0.24938
TD	young	Pbre1_02G216800	Pbre1_02G217000	0.110347
TRD	old	Pbre1_02G155800	Pbre1_04G223200	0.315968
TRD	young	Pbre1_15G585800	Pbre1_07G157200	0.0631581
TD	old	Pbre1_17G137000	Pbre1_17G137200	0.365868
TRD	old	Pbre1_15G035000	Pbre1_05G075800	0.146015
TRD	old	Pbre1_07G401800	Pbre1_12G263200	0.0902311
PD	young	Pbre1_13G069200	Pbre1_13G069800	0.0881698
TRD	old	Pbre1_07G039400	Pbre1_07G512000	0.0589115
TRD	old	Pbre1_10G113600	Pbre1_02G304400	0.468109
TRD	young	Pbre1_08G278600	Pbre1_17G330600	0.0954733
PD	old	Pbre1_06G169800	Pbre1_06G170400	0.115801
TD	young	Pbre1_11G034400	Pbre1_11G034600	0.0663066
PD	young	Pbre1_10G372200	Pbre1_10G372800	0.0632159
PD	old	Pbre1_10G296400	Pbre1_10G297400	0.180858
TD	old	Pbre1_07G373400	Pbre1_07G373600	0.283352
TD	old	Pbre1_06G240400	Pbre1_06G240600	0.201069
TD	old	Pbre1_01G345800	Pbre1_01G346000	0.422304
PD	young	Pbre1_15G307400	Pbre1_15G307800	0.0384493
PD	old	Pbre1_02G375800	Pbre1_02G377000	0.0292404
TD	old	Pbre1_17G450800	Pbre1_17G451000	0.312687
TRD	old	Pbre1_10G583400	Pbre1_05G595000	0.337897
PD	old	Pbre1_13G096600	Pbre1_13G097000	0.075125
PD	old	Pbre1_09G073600	Pbre1_09G074400	0.121927
TD	old	Pbre1_16G412800	Pbre1_16G413000	0.30039
PD	old	Pbre1_05G251400	Pbre1_05G251800	0.457951
TRD	old	Pbre1_15G608000	Pbre1_02G337200	0.381796
TRD	old	Pbre1_13G142400	Pbre1_16G147800	0.244692
TD	old	Pbre1_11G462200	Pbre1_11G462400	0.159411
PD	old	Pbre1_07G161800	Pbre1_07G162200	0.11853
TRD	young	Pbre1_03G307200	Pbre1_03G405600	0.0139043
TRD	old	Pbre1_07G289600	Pbre1_09G149200	0.302597
TRD	old	Pbre1_11G195600	Pbre1_07G395200	0.264888
TRD	young	Pbre1_09G464000	Pbre1_01G055800	0.0945912
TRD	old	Pbre1_05G241200	Pbre1_15G294200	0.24373
TRD	old	Pbre1_07G071000	Pbre1_05G402000	0.132636
TD	young	Pbre1_05G443800	Pbre1_05G444000	0.0204555
TRD	young	Pbre1_07G131000	Pbre1_02G210600	0.0216034
TRD	old	Pbre1_15G784000	Pbre1_07G491600	0.124064
TRD	old	Pbre1_04G091200	Pbre1_05G243800	0.305392
PD	old	Pbre1_04G043400	Pbre1_04G043800	0.330799
TD	young	Pbre1_09G058800	Pbre1_09G059000	0.0445275
TRD	old	Pbre1_08G359000	Pbre1_17G099600	0.357427
TRD	old	Pbre1_15G005000	Pbre1_09G204800	0.14936
TRD	old	Pbre1_15G779200	Pbre1_12G038600	0.167776
TRD	old	Pbre1_13G241800	Pbre1_16G244200	0.229652
TRD	young	Pbre1_02G321000	Pbre1_15G241600	0.0202127
TD	old	Pbre1_15G574800	Pbre1_15G575000	0.134414
TRD	old	Pbre1_13G469800	Pbre1_11G402400	0.252098
TD	young	Pbre1_11G132000	Pbre1_11G132200	0.0751073
TD	old	Pbre1_08G139800	Pbre1_08G140000	0.156923
PD	old	Pbre1_12G182400	Pbre1_12G183400	0.0272695
TD	young	Pbre1_03G040600	Pbre1_03G040800	0.0388611
TRD	old	Pbre1_07G104000	Pbre1_02G396000	0.397563
PD	young	Pbre1_08G202600	Pbre1_08G203000	0.0755367
TRD	old	Pbre1_07G286000	Pbre1_01G207400	0.159138
PD	young	Pbre1_06G281400	Pbre1_06G282600	0.0617051
PD	old	Pbre1_10G229400	Pbre1_10G230000	0.171875
PD	young	Pbre1_10G491200	Pbre1_10G491600	0.056632
TD	old	Pbre1_15G488200	Pbre1_15G488400	0.11262
TD	old	Pbre1_02G197400	Pbre1_02G197600	0.175538
TRD	young	Pbre1_10G078800	Pbre1_10G140600	0.0418906
TD	young	Pbre1_01G253400	Pbre1_01G253600	0.0104126
TRD	old	Pbre1_15G766200	Pbre1_07G363000	0.346195
PD	old	Pbre1_14G406600	Pbre1_14G407600	0.263464
PD	old	Pbre1_14G406800	Pbre1_14G407800	0.369208
TRD	old	Pbre1_12G190800	Pbre1_12G287200	0.188195
TRD	young	Pbre1_12G173200	Pbre1_10G579400	0.017594
TRD	old	Pbre1_11G100000	Pbre1_13G343800	0.161815
PD	young	Pbre1_07G407400	Pbre1_07G407800	0.0706871
TD	young	Pbre1_06G095400	Pbre1_06G095600	0.0539066
TD	old	Pbre1_10G542800	Pbre1_10G543000	0.311078
PD	old	Pbre1_17G046800	Pbre1_17G047200	0.103228
TRD	old	Pbre1_08G277200	Pbre1_15G628000	0.233725
PD	old	Pbre1_04G297000	Pbre1_04G297400	0.156316
TD	old	Pbre1_07G052000	Pbre1_07G052200	0.319852
TRD	old	Pbre1_12G415000	Pbre1_04G388600	0.369714
TRD	old	Pbre1_04G178800	Pbre1_08G088400	0.446926
PD	old	Pbre1_02G271800	Pbre1_02G273000	0.117473
TD	old	Pbre1_09G469200	Pbre1_09G469400	0.18996
TD	old	Pbre1_17G159800	Pbre1_17G160000	0.453735
TRD	old	Pbre1_10G052400	Pbre1_02G189400	0.123669
TD	old	Pbre1_09G194800	Pbre1_09G195000	0.126025
PD	young	Pbre1_01G125000	Pbre1_01G126000	0.073841
TRD	old	Pbre1_04G029000	Pbre1_04G276200	0.201626
TD	old	Pbre1_04G206800	Pbre1_04G207000	0.423025
TRD	old	Pbre1_17G215200	Pbre1_09G222400	0.464748
PD	young	Pbre1_04G342200	Pbre1_04G342600	0.103918
PD	young	Pbre1_12G249600	Pbre1_12G250200	0.0689129
TRD	old	Pbre1_12G168000	Pbre1_05G055800	0.424385
PD	young	Pbre1_11G377600	Pbre1_11G378000	0.10453
PD	young	Pbre1_07G162000	Pbre1_07G162400	0.0210339
TD	old	Pbre1_11G153200	Pbre1_11G153400	0.332956
TRD	young	Pbre1_06G197200	Pbre1_13G212800	0.0136254
TD	young	Pbre1_05G420400	Pbre1_05G420600	0.031329
TRD	old	Pbre1_11G134400	Pbre1_03G157400	0.405892
TRD	old	Pbre1_17G227000	Pbre1_16G471600	0.12245
TD	old	Pbre1_15G027000	Pbre1_15G027200	0.319351
TD	young	Pbre1_13G058600	Pbre1_13G058800	0.0346263
TRD	old	Pbre1_04G083200	Pbre1_06G085200	0.186406
TD	young	Pbre1_10G483400	Pbre1_10G483600	0.0246791
TD	young	Pbre1_03G285600	Pbre1_03G285800	0.0934393
TD	young	Pbre1_03G413600	Pbre1_03G413800	0.0980626
TRD	old	Pbre1_05G068600	Pbre1_10G070800	0.149578
PD	old	Pbre1_08G077200	Pbre1_08G077600	0.265025
TD	old	Pbre1_12G035000	Pbre1_12G035200	0.120281
PD	old	Pbre1_10G255600	Pbre1_10G256000	0.147546
TD	young	Pbre1_04G403400	Pbre1_04G403600	0.0877445
TRD	old	Pbre1_12G349200	Pbre1_04G322400	0.384699
TD	old	Pbre1_13G243600	Pbre1_13G243800	0.438321
TD	old	Pbre1_15G624600	Pbre1_15G624800	0.11979
PD	old	Pbre1_07G202000	Pbre1_07G202800	0.202355
TRD	young	Pbre1_15G784400	Pbre1_15G243200	0.0158417
PD	old	Pbre1_08G220400	Pbre1_08G221000	0.198182
TRD	old	Pbre1_01G059000	Pbre1_13G073800	0.292919
TD	old	Pbre1_13G020000	Pbre1_13G020200	0.256088
TD	old	Pbre1_03G229800	Pbre1_03G230000	0.223295
TRD	old	Pbre1_08G237200	Pbre1_15G208600	0.142945
TRD	old	Pbre1_03G000800	Pbre1_11G001000	0.137944
TD	young	Pbre1_13G252600	Pbre1_13G252800	0.0629763
TRD	old	Pbre1_09G386800	Pbre1_08G331000	0.212819
TD	old	Pbre1_11G118800	Pbre1_11G119000	0.333385
TRD	old	Pbre1_17G033800	Pbre1_09G032800	0.219411
PD	young	Pbre1_03G413000	Pbre1_03G413400	0.0910425
TRD	old	Pbre1_10G191000	Pbre1_13G343200	0.122195
TRD	old	Pbre1_11G258400	Pbre1_11G254200	0.146016
TD	young	Pbre1_03G017000	Pbre1_03G017200	0.103115
PD	old	Pbre1_14G307800	Pbre1_14G308400	0.211611
TD	young	Pbre1_09G158200	Pbre1_09G158400	0.100104
TRD	young	Pbre1_15G763200	Pbre1_10G142000	0.0859616
TD	old	Pbre1_06G334800	Pbre1_06G335000	0.124148
TRD	old	Pbre1_09G429400	Pbre1_17G438800	0.299255
TD	young	Pbre1_04G032000	Pbre1_04G032200	0.0568635
TRD	young	Pbre1_13G196200	Pbre1_13G187400	0.0494144
PD	young	Pbre1_02G159400	Pbre1_02G159800	0.0747848
PD	young	Pbre1_04G309000	Pbre1_04G310000	0.0105493
TRD	old	Pbre1_10G044400	Pbre1_10G124600	0.0987294
TRD	old	Pbre1_15G289600	Pbre1_02G039000	0.20352
PD	old	Pbre1_15G759200	Pbre1_15G759600	0.159214
TD	old	Pbre1_10G542600	Pbre1_10G542800	0.169346
PD	old	Pbre1_05G435400	Pbre1_05G435800	0.206082
PD	young	Pbre1_09G184000	Pbre1_09G184400	0.0566121
TD	old	Pbre1_15G117600	Pbre1_15G117800	0.354192
TD	young	Pbre1_15G488000	Pbre1_15G488200	0.0785752
PD	old	Pbre1_03G426200	Pbre1_03G427000	0.123852
TD	young	Pbre1_15G310400	Pbre1_15G310600	0.0429733
TD	old	Pbre1_02G172000	Pbre1_02G172200	0.157222
TRD	old	Pbre1_13G354800	Pbre1_01G263600	0.373377
TRD	old	Pbre1_08G224200	Pbre1_08G219200	0.2568
TRD	young	Pbre1_02G127200	Pbre1_02G273200	0.108809
TD	old	Pbre1_15G768600	Pbre1_15G768800	0.165901
PD	old	Pbre1_14G310800	Pbre1_14G311400	0.153057
TRD	old	Pbre1_05G318800	Pbre1_05G325200	0.441757
TD	young	Pbre1_02G120000	Pbre1_02G120200	0.0107776
TRD	old	Pbre1_07G179600	Pbre1_05G217600	0.180878
TRD	old	Pbre1_13G102400	Pbre1_16G103400	0.196309
TRD	old	Pbre1_12G143400	Pbre1_04G195000	0.216398
TD	young	Pbre1_17G416400	Pbre1_17G416600	0.0553533
TD	old	Pbre1_10G465600	Pbre1_10G465800	0.131048
TRD	old	Pbre1_10G006800	Pbre1_09G135000	0.248831
TRD	old	Pbre1_17G297600	Pbre1_09G303000	0.16879
TRD	young	Pbre1_08G301400	Pbre1_02G052200	0.0790586
TD	old	Pbre1_08G078600	Pbre1_08G078800	0.172255
TRD	old	Pbre1_13G201600	Pbre1_13G486000	0.332517
TD	young	Pbre1_12G370200	Pbre1_12G370400	0.0823795
TRD	old	Pbre1_10G365600	Pbre1_05G386200	0.413736
TD	young	Pbre1_08G363400	Pbre1_08G363600	0.013786
TRD	old	Pbre1_11G276800	Pbre1_15G746400	0.288375
TD	old	Pbre1_14G091000	Pbre1_14G091200	0.148686
PD	young	Pbre1_06G311200	Pbre1_06G311600	0.0280683
TRD	old	Pbre1_03G443600	Pbre1_11G482000	0.266404
TD	old	Pbre1_02G047200	Pbre1_02G047400	0.403457
PD	old	Pbre1_16G223800	Pbre1_16G224200	0.119421
PD	old	Pbre1_05G252400	Pbre1_05G252800	0.0661905
PD	old	Pbre1_14G023200	Pbre1_14G023600	0.401383
TRD	old	Pbre1_07G196200	Pbre1_02G315600	0.195523
TD	young	Pbre1_02G078800	Pbre1_02G079000	0.0727108
TRD	young	Pbre1_06G189000	Pbre1_06G412800	0.0322116
PD	old	Pbre1_14G015200	Pbre1_14G015600	0.117739
TRD	old	Pbre1_16G435600	Pbre1_06G040800	0.334967
PD	old	Pbre1_06G075200	Pbre1_06G075800	0.122058
PD	old	Pbre1_09G341200	Pbre1_09G341600	0.463183
TD	old	Pbre1_04G298000	Pbre1_04G298200	0.287988
PD	young	Pbre1_12G108400	Pbre1_12G109200	0.0100881
TRD	old	Pbre1_03G322200	Pbre1_11G344600	0.165234
TRD	old	Pbre1_05G127000	Pbre1_10G137400	0.143845
PD	old	Pbre1_01G155400	Pbre1_01G155800	0.289019
PD	old	Pbre1_13G479200	Pbre1_13G479800	0.329282
PD	young	Pbre1_04G310000	Pbre1_04G311000	0.00907141
TRD	young	Pbre1_03G295400	Pbre1_13G471000	0.013335
TRD	old	Pbre1_09G128600	Pbre1_17G127600	0.422623
PD	young	Pbre1_04G183000	Pbre1_04G183400	0.078333
TD	old	Pbre1_05G205200	Pbre1_05G205400	0.161004
TD	old	Pbre1_15G214600	Pbre1_15G214800	0.458918
PD	old	Pbre1_09G174000	Pbre1_09G174600	0.0415487
TD	old	Pbre1_01G315000	Pbre1_01G315200	0.126666
TRD	old	Pbre1_11G052400	Pbre1_04G088800	0.160384
TD	young	Pbre1_10G171000	Pbre1_10G171200	0.0941195
TRD	old	Pbre1_06G036600	Pbre1_13G145600	0.161589
TD	young	Pbre1_11G096400	Pbre1_11G096600	0.048024
TRD	old	Pbre1_08G184000	Pbre1_08G181800	0.442505
TRD	old	Pbre1_07G328800	Pbre1_01G280200	0.282084
TD	old	Pbre1_09G450400	Pbre1_09G450600	0.448189
PD	old	Pbre1_14G412000	Pbre1_14G412800	0.133739
TD	old	Pbre1_15G050800	Pbre1_15G051000	0.12688
PD	young	Pbre1_07G392400	Pbre1_07G393200	0.00905627
TRD	old	Pbre1_04G149200	Pbre1_15G236000	0.306636
PD	old	Pbre1_17G443000	Pbre1_17G443600	0.199008
TRD	old	Pbre1_16G229200	Pbre1_13G222800	0.393601
PD	young	Pbre1_08G208600	Pbre1_08G209200	0.0179946
TRD	old	Pbre1_15G320600	Pbre1_02G364000	0.200119
TD	young	Pbre1_01G386400	Pbre1_01G386600	0.110075
TD	old	Pbre1_09G211200	Pbre1_09G211400	0.135647
TRD	old	Pbre1_05G362600	Pbre1_08G023200	0.472802
TRD	old	Pbre1_05G128400	Pbre1_07G062800	0.150006
PD	young	Pbre1_07G066000	Pbre1_07G066600	0.037085
TRD	old	Pbre1_16G343800	Pbre1_13G340000	0.155113
TRD	young	Pbre1_01G110200	Pbre1_06G144600	0.0909103
PD	young	Pbre1_17G101200	Pbre1_17G102200	0.0979277
TD	old	Pbre1_10G351800	Pbre1_10G352000	0.396341
TRD	old	Pbre1_06G221600	Pbre1_14G264200	0.245137
PD	old	Pbre1_05G375800	Pbre1_05G376200	0.118111
PD	young	Pbre1_14G324600	Pbre1_14G325000	0.023301
PD	old	Pbre1_10G072600	Pbre1_10G073000	0.269363
TD	old	Pbre1_03G337400	Pbre1_03G337600	0.196895
TRD	old	Pbre1_16G496400	Pbre1_17G012400	0.122973
TRD	old	Pbre1_08G273200	Pbre1_15G625600	0.402898
TRD	old	Pbre1_16G037200	Pbre1_13G035200	0.284651
PD	young	Pbre1_02G377400	Pbre1_02G378400	0.0316903
TD	old	Pbre1_02G437600	Pbre1_02G437800	0.367755
TRD	young	Pbre1_08G200800	Pbre1_07G222800	0.103471
TD	old	Pbre1_13G254600	Pbre1_13G254800	0.425577
TD	old	Pbre1_04G099400	Pbre1_04G099600	0.422107
TRD	old	Pbre1_11G404000	Pbre1_04G382400	0.266842
TD	old	Pbre1_11G411200	Pbre1_11G411400	0.113206
TD	old	Pbre1_01G335400	Pbre1_01G335600	0.168873
TD	old	Pbre1_10G295600	Pbre1_10G295800	0.199657
TD	young	Pbre1_11G271200	Pbre1_11G271400	0.106545
TRD	old	Pbre1_16G422200	Pbre1_13G412400	0.185392
TRD	old	Pbre1_01G289600	Pbre1_03G206400	0.223193
TD	old	Pbre1_05G253000	Pbre1_05G253200	0.399597
TRD	old	Pbre1_12G168800	Pbre1_13G306400	0.073394
TRD	young	Pbre1_09G003200	Pbre1_17G003000	0.0868016
TRD	old	Pbre1_07G092600	Pbre1_13G242000	0.129451
TRD	old	Pbre1_12G139800	Pbre1_04G235800	0.438004
PD	old	Pbre1_15G234200	Pbre1_15G234600	0.260656
TRD	old	Pbre1_07G491000	Pbre1_04G413200	0.378939
TRD	old	Pbre1_11G066400	Pbre1_03G077000	0.271502
TD	young	Pbre1_11G047000	Pbre1_11G047200	0.0340862
TD	old	Pbre1_13G300800	Pbre1_13G301000	0.438318
TRD	old	Pbre1_16G500200	Pbre1_04G035600	0.32383
TD	old	Pbre1_11G351800	Pbre1_11G352000	0.198041
TRD	old	Pbre1_17G090200	Pbre1_15G276800	0.168899
TRD	old	Pbre1_16G095600	Pbre1_13G094600	0.286517
TD	old	Pbre1_03G361800	Pbre1_03G362000	0.0584763
TRD	young	Pbre1_02G417400	Pbre1_02G412400	0.0111269
TD	young	Pbre1_08G094200	Pbre1_08G094400	0.039606
PD	young	Pbre1_07G035800	Pbre1_07G036200	0.0693234
PD	old	Pbre1_10G240800	Pbre1_10G241200	0.218433
TRD	old	Pbre1_05G082000	Pbre1_15G080400	0.27077
TRD	old	Pbre1_14G400600	Pbre1_06G363800	0.140591
TD	young	Pbre1_12G151200	Pbre1_12G151400	0.0903654
TD	young	Pbre1_14G311800	Pbre1_14G312000	0.0384374
PD	young	Pbre1_11G115200	Pbre1_11G116000	0.072504
TD	old	Pbre1_10G390600	Pbre1_10G390800	0.218682
TD	old	Pbre1_03G026200	Pbre1_03G026400	0.33696
TD	young	Pbre1_01G260800	Pbre1_01G261000	0.0905064
TRD	young	Pbre1_01G034000	Pbre1_12G068800	0.0604506
TRD	young	Pbre1_08G234400	Pbre1_08G081800	0.0218118
TRD	old	Pbre1_04G326200	Pbre1_12G353000	0.26719
TD	old	Pbre1_07G185400	Pbre1_07G185600	0.0202703
PD	old	Pbre1_10G373000	Pbre1_10G373400	0.121709
TRD	old	Pbre1_11G353600	Pbre1_15G758600	0.249668
PD	old	Pbre1_02G271600	Pbre1_02G272000	0.145403
TRD	old	Pbre1_10G167800	Pbre1_05G163200	0.314385
PD	young	Pbre1_08G172600	Pbre1_08G173600	0.0612496
PD	old	Pbre1_01G402000	Pbre1_01G402400	0.201949
TD	young	Pbre1_01G242200	Pbre1_01G242400	0.0409698
TD	young	Pbre1_05G193800	Pbre1_05G194000	0.0491925
TRD	old	Pbre1_07G198200	Pbre1_06G093200	0.13964
PD	young	Pbre1_15G692800	Pbre1_15G693800	0.0912453
TD	young	Pbre1_17G255400	Pbre1_17G255600	0.0242026
TRD	old	Pbre1_04G142400	Pbre1_07G196000	0.196674
TRD	old	Pbre1_17G488200	Pbre1_09G473000	0.207554
TRD	young	Pbre1_11G394600	Pbre1_13G471000	0.0133223
TD	old	Pbre1_04G056800	Pbre1_04G057000	0.42575
TRD	old	Pbre1_07G245600	Pbre1_09G185000	0.232249
PD	young	Pbre1_15G745200	Pbre1_15G745600	0.0365462
TRD	old	Pbre1_10G326800	Pbre1_03G142400	0.402012
TD	young	Pbre1_02G021000	Pbre1_02G021200	0.00248441
TRD	old	Pbre1_03G335600	Pbre1_11G361400	0.21865
PD	old	Pbre1_15G690400	Pbre1_15G690800	0.0561613
TRD	old	Pbre1_06G307000	Pbre1_06G275000	0.38031
PD	young	Pbre1_01G232600	Pbre1_01G233000	0.0172936
TRD	young	Pbre1_11G089400	Pbre1_08G041400	0.0572793
PD	young	Pbre1_04G309600	Pbre1_04G310800	0.0647913
PD	old	Pbre1_15G030400	Pbre1_15G030800	0.124157
TRD	old	Pbre1_05G321800	Pbre1_10G307600	0.242169
TRD	old	Pbre1_10G246000	Pbre1_10G238800	0.165832
TRD	old	Pbre1_17G308400	Pbre1_08G152800	0.300376
PD	young	Pbre1_16G488400	Pbre1_16G488800	0.0233832
TRD	young	Pbre1_15G553400	Pbre1_04G024800	0.0997359
TRD	old	Pbre1_14G187600	Pbre1_15G043200	0.341534
TRD	old	Pbre1_14G221400	Pbre1_06G178200	0.354292
TRD	old	Pbre1_06G034200	Pbre1_13G146000	0.373859
TD	old	Pbre1_13G048800	Pbre1_13G049000	0.175439
TRD	old	Pbre1_15G075800	Pbre1_15G065200	0.431122
TRD	old	Pbre1_16G339800	Pbre1_13G334600	0.265829
TD	old	Pbre1_09G108200	Pbre1_09G108400	0.28024
PD	old	Pbre1_05G108600	Pbre1_05G109200	0.346284
TRD	old	Pbre1_09G470000	Pbre1_05G455400	0.442274
TD	young	Pbre1_01G314600	Pbre1_01G314800	0.0844084
TD	young	Pbre1_03G416000	Pbre1_03G416200	0.00604566
TD	old	Pbre1_05G440000	Pbre1_05G440200	0.190808
TRD	old	Pbre1_09G074000	Pbre1_13G328000	0.277657
TD	old	Pbre1_03G404200	Pbre1_03G404400	0.120986
TD	old	Pbre1_17G163400	Pbre1_17G163600	0.144014
TD	old	Pbre1_02G429200	Pbre1_02G429400	0.132179
PD	young	Pbre1_15G299000	Pbre1_15G299800	0.0290864
TRD	old	Pbre1_17G508800	Pbre1_09G490400	0.234808
PD	old	Pbre1_04G335800	Pbre1_04G336600	0.389893
TRD	old	Pbre1_04G004000	Pbre1_09G046200	0.182375
PD	old	Pbre1_14G213400	Pbre1_14G213800	0.428247
TRD	old	Pbre1_11G255200	Pbre1_05G119600	0.277832
TRD	old	Pbre1_02G414200	Pbre1_10G535200	0.124966
TRD	old	Pbre1_17G226400	Pbre1_09G230600	0.265607
TRD	old	Pbre1_02G145600	Pbre1_02G126200	0.0268485
TD	old	Pbre1_09G056000	Pbre1_09G056200	0.382809
TRD	old	Pbre1_15G547600	Pbre1_02G282000	0.229528
TRD	old	Pbre1_01G075800	Pbre1_09G171600	0.195063
TRD	old	Pbre1_05G438400	Pbre1_15G778400	0.0674501
TRD	old	Pbre1_16G310400	Pbre1_13G309000	0.122013
TRD	old	Pbre1_14G368400	Pbre1_06G330600	0.122748
TD	old	Pbre1_15G283400	Pbre1_15G283600	0.415557
TRD	old	Pbre1_11G350800	Pbre1_03G326800	0.168503
TD	old	Pbre1_14G334800	Pbre1_14G335000	0.166832
PD	old	Pbre1_08G137800	Pbre1_08G138400	0.166733
PD	old	Pbre1_05G432000	Pbre1_05G432600	0.105592
TRD	old	Pbre1_17G409400	Pbre1_12G197200	0.43955
PD	old	Pbre1_05G242800	Pbre1_05G243200	0.272596
TD	old	Pbre1_05G181600	Pbre1_05G181800	0.167155
TRD	old	Pbre1_16G147400	Pbre1_13G142000	0.211654
TRD	old	Pbre1_14G399400	Pbre1_06G363200	0.180097
PD	old	Pbre1_10G245000	Pbre1_10G245600	0.1945
PD	old	Pbre1_05G251400	Pbre1_05G252000	0.342882
PD	old	Pbre1_12G380200	Pbre1_12G380600	0.34768
PD	young	Pbre1_08G332800	Pbre1_08G333400	0.086924
PD	young	Pbre1_06G211800	Pbre1_06G212200	0.0756748
TRD	old	Pbre1_13G053400	Pbre1_16G058000	0.181088
TD	young	Pbre1_12G370600	Pbre1_12G370800	0.0157793
TD	old	Pbre1_02G022800	Pbre1_02G023000	0.350167
TRD	old	Pbre1_16G463400	Pbre1_16G466000	0.12963
TD	young	Pbre1_15G720000	Pbre1_15G720200	0.0326614
TRD	old	Pbre1_10G378400	Pbre1_05G397600	0.251767
TRD	old	Pbre1_02G335600	Pbre1_10G317600	0.23668
TRD	old	Pbre1_16G435800	Pbre1_16G481000	0.115323
TRD	old	Pbre1_06G036800	Pbre1_17G473200	0.3753
TRD	old	Pbre1_06G256000	Pbre1_15G052400	0.165552
TRD	young	Pbre1_17G125200	Pbre1_10G161600	0.00485031
TRD	old	Pbre1_15G438800	Pbre1_02G202000	0.213948
PD	old	Pbre1_09G194400	Pbre1_09G194800	0.182188
PD	young	Pbre1_09G281800	Pbre1_09G282200	0.0534578
TRD	old	Pbre1_08G209400	Pbre1_14G453200	0.199149
PD	young	Pbre1_05G123200	Pbre1_05G123600	0.0540286
TD	old	Pbre1_13G073200	Pbre1_13G073400	0.14004
PD	young	Pbre1_11G162200	Pbre1_11G164000	0.0319957
TD	young	Pbre1_07G325800	Pbre1_07G326000	0.0895631
TD	young	Pbre1_10G341800	Pbre1_10G342000	0.0601457
TRD	old	Pbre1_09G375200	Pbre1_17G384400	0.15268
TRD	old	Pbre1_04G094600	Pbre1_06G242000	0.360712
PD	young	Pbre1_04G304400	Pbre1_04G305000	0.0433487
TRD	old	Pbre1_12G168200	Pbre1_12G171200	0.0553437
PD	young	Pbre1_04G294600	Pbre1_04G295000	0.0607401
TRD	old	Pbre1_06G146600	Pbre1_06G166000	0.319099
TRD	old	Pbre1_02G032600	Pbre1_08G018800	0.441264
TRD	old	Pbre1_05G174800	Pbre1_04G164000	0.150293
TD	old	Pbre1_04G236200	Pbre1_04G236400	0.394665
TD	old	Pbre1_08G295400	Pbre1_08G295600	0.470442
PD	old	Pbre1_05G089000	Pbre1_05G089600	0.291603
PD	old	Pbre1_13G195600	Pbre1_13G196000	0.234225
TD	young	Pbre1_07G491600	Pbre1_07G491800	0.0494343
TD	young	Pbre1_08G070400	Pbre1_08G070600	0.10876
TRD	old	Pbre1_03G004200	Pbre1_17G031400	0.325815
PD	old	Pbre1_15G459600	Pbre1_15G461000	0.203653
TD	young	Pbre1_14G201400	Pbre1_14G201600	0.0421978
TRD	old	Pbre1_01G076000	Pbre1_09G171600	0.473833
TRD	old	Pbre1_08G297800	Pbre1_17G106600	0.120887
TRD	old	Pbre1_13G304200	Pbre1_16G307200	0.17683
TRD	old	Pbre1_17G322800	Pbre1_05G475000	0.281777
TRD	old	Pbre1_17G142200	Pbre1_09G143600	0.229942
TD	young	Pbre1_04G039800	Pbre1_04G040000	0.0114501
TD	old	Pbre1_04G005000	Pbre1_04G005200	0.318141
TD	young	Pbre1_10G506400	Pbre1_10G506600	0.00315225
TRD	old	Pbre1_01G348200	Pbre1_08G098800	0.130621
PD	young	Pbre1_07G241200	Pbre1_07G241600	0.00548645
TRD	old	Pbre1_16G502200	Pbre1_06G003600	0.244364
PD	old	Pbre1_10G056600	Pbre1_10G057400	0.0120715
TD	old	Pbre1_09G076800	Pbre1_09G077000	0.276398
TRD	old	Pbre1_09G176600	Pbre1_17G174400	0.16471
TRD	young	Pbre1_01G115000	Pbre1_16G482400	0.02946
